QID,abstract
Q28822661,"TRAPPIST-1g, also designated as 2MASS J23062928-0502285 g and K2-112 g, is an exoplanet orbiting around the ultra-cool dwarf star TRAPPIST-1 39 light-years (12 parsecs) away from Earth in the constellation Aquarius. It was one of four new exoplanets to be discovered orbiting the star using observations from the Spitzer Space Telescope. The exoplanet is within the optimistic habitable zone of its host star. It was found by using the transit method, in which the dimming effect that a planet causes as it crosses in front of its star is measured. The second most distant known planet in its system, TRAPPIST-1g is a planet larger than Earth yet less dense, meaning it likely hosts some form of water."
Q28822662,"TRAPPIST-1h, also designated as 2MASS J23062928-0502285 h, is an exoplanet orbiting around the ultra-cool dwarf star TRAPPIST-1 39 light-years (12 parsecs) away from Earth in the constellation Aquarius. It was one of four new exoplanets to be discovered orbiting the star using observations from the Spitzer Space Telescope. Throughout 2017 and 2018, more studies were able to refine its physical parameters. The outermost known planet in its system, it is roughly one third the mass of Earth, and about 77% as large. Its relatively low density indicates that it is likely water-rich, like several other planets in the system."
Q34848979,"WASP-121b is an extrasolar planet orbiting the star WASP-121. WASP-121b is the first exoplanet found to contain water in an extrasolar planetary stratosphere (i.e., an atmospheric layer in which temperatures increase as the altitude increases). WASP-121b is in the constellation Puppis, and is about 850 light-years from Earth. In August 2022, this planet and its host star were included among 20 systems to be named by the third NameExoWorlds project."
Q560,"Helium (from Greek: ἥλιος, romanized: helios, lit. 'sun') is a chemical element with the symbol He and atomic number 2. It is a colorless, odorless, tasteless, non-toxic, inert, monatomic gas and the first in the noble gas group in the periodic table. Its boiling and melting point are the lowest among all the elements. It is the second lightest and second most abundant element in the observable universe (hydrogen is the lightest and most abundant)."
Q11406005,"Kepler-62e (also known by its Kepler Object of Interest designation KOI-701.03) is a super-Earth exoplanet (extrasolar planet) discovered orbiting within the habitable zone of Kepler-62, the second outermost of five such planets discovered by NASA's Kepler spacecraft. Kepler-62e is located about 1,200 light-years (370 parsecs) from Earth in the constellation of Lyra. The exoplanet was found using the transit method, in which the dimming effect that a planet causes as it crosses in front of its star is measured. Kepler-62e may be a terrestrial or ocean-covered planet; it lies in the inner part of its host star's habitable zone. Kepler-62e orbits its host star every 122 days and is roughly 60 percent larger (in diameter) than Earth."
Q20877161,"Kepler-283c is an exoplanet orbiting the K-type star, every 93 days in the circumstellar habitable zone. It has a surface temperature of 238.5 K (−34.6 °C; −30.4 °F). Its radius is 1.82 REarth and it has an equibrilium temp of 238.5 K. It has an eccentricity of 0.000 or circular."
Q125133,"Víctor Lidio Jara Martínez (Spanish pronunciation: [ˈβiktoɾ ˈliðjo ˈxaɾa maɾˈtines]; 28 September 1932 – 16 September 1973) was a Chilean teacher, theater director, poet, singer-songwriter and Communist political activist. He developed Chilean theater by directing a broad array of works, ranging from locally produced plays to world classics, as well as the experimental work of playwrights such as Ann Jellicoe. He also played a pivotal role among neo-folkloric musicians who established the Nueva canción chilena (New Chilean Song) movement. This led to an uprising of new sounds in popular music during the administration of President Salvador Allende. Jara was arrested by the Chilean military shortly after the 11 September 1973 coup led by Augusto Pinochet, which overthrew Allende."
Q266816,"José María Arguedas Altamirano (18 January 1911 – 2 December 1969) was a Peruvian novelist, poet, and anthropologist. Arguedas was an author of Spanish descent, fluent in the Native Quechua language, gained by living in two Quechua households from the age of 7 to 11 - first in the Indigenous servant quarters of his step-mother's home, then, escaping her ""perverse and cruel"" son, with an Indigenous family approved by his father - who wrote novels, short stories, and poems in both Spanish and Quechua. Generally remembered as one of the most notable figures of 20th-century Peruvian literature, Arguedas is especially recognized for his intimate portrayals of Indigenous Andean culture. Key in his desire to depict Indigenous expression and perspective more authentically was his creation of a new language that blended Spanish and Quechua and premiered in his debut novel Yawar Fiesta. Despite a dearth of translations into English, the critic Martin Seymour-Smith has dubbed Arguedas ""the greatest novelist of our time,"" who wrote ""some of the most powerful prose that the world has known."
Q5707138,"Arturo Borja Pérez (1892 – November 13, 1912) was an Ecuadorian poet who was part of a group known as the ""Generación decapitada"" (Decapitated Generation). He was the first in the group to excel as a modernist poet. He did not produce a lot of poetry, but the small amount of poetry he produced showed great quality. He published twenty poems in a book titled La flauta de ónix, and six other poems were published posthumously. The group is called ""decapitada"", or decapitated, because all its members committed suicide at a young age."
Q6805151,"Medardo Ángel Silva Rodas (June 8, 1898 at Guayaquil – June 10, 1919 at Guayaquil) was an Ecuadorian poet and a member of the Generación decapitada. The ""Decapitated Generation"" was a group of four young Ecuadorian poets in the first decades of the 20th century. Two men from Guayaquil, Medardo Ángel Silva and Ernesto Noboa y Caamaño, and two men from Quito, Arturo Borja and Humberto Fierro, were the precursors of modernismo in Ecuador. These four writers were greatly influenced by the modernist movement of Rubén Darío and by 19th-century French romantic poetry. Though they knew each other and dedicated poems to each other, they never met together to create a true literary group."
Q168847,"Brittany Anne Murphy-Monjack (née Bertolotti; November 10, 1977 – December 20, 2009) was an American actress and singer. Born in Atlanta, Murphy moved to Los Angeles as a teenager and pursued a career in acting. Her breakthrough role was as Tai Frasier in Clueless (1995), followed by supporting roles in independent films such as Freeway (1996) and Bongwater (1998). She made her stage debut in a Broadway production of Arthur Miller's A View from the Bridge in 1997 before appearing as Daisy Randone in Girl, Interrupted (1999) and as Lisa Swenson in Drop Dead Gorgeous (1999). In the 2000s, Murphy appeared in Don't Say a Word (2001) alongside Michael Douglas, and alongside Eminem in 8 Mile (2002), for which she gained critical recognition."
Q238557,Alfonsina Storni (22 May 1892 – 25 October 1938) was an Argentine poet and playwright of the modernist period.
Q9030106,"María Mercedes Carranza (24 May 1945 – 11 July 2003) was a poet and journalist from Bogotá, Colombia, who spent most of her childhood in Spain."
Q2394793,"Ignacio Padilla (November 7, 1968 – August 20, 2016) was a Mexican writer whose works were translated into several languages. Padilla helped found the Crack Movement, along with fellow writers Eloy Urroz, Jorge Volpi, and , as a means for Mexican authors to find their own voice and write beyond magic realism."
Q527997,"Baron Franz Nopcsa von Felső-Szilvás (also Baron Nopcsa von Felső-Szilvás, Baron Nopcsa, Ferenc Nopcsa, báró felsőszilvási Nopcsa Ferenc, Baron Franz Nopcsa, and Franz Baron Nopcsa; May 3, 1877 – April 25, 1933) was a Hungarian aristocrat, adventurer, scholar, geologist, paleontologist and albanologist. He is widely regarded as one of the founders of paleobiology, and first described the theory of insular dwarfism. He was also a specialist on Albanian studies and completed the first geological map of northern Albania."
Q1331999,Osvaldo Juan Zubeldía (24 June 1927 in Junín – 17 January 1982 in Medellín) was a football player and an influential Argentine coach.
Q1978472,Guillermo Cano Isaza (12 August 1925 – 17 December 1986) was a Colombian journalist.
Q20898801,"Luis Gallego Sánchez (28 June 1945 – 9 December 1992), known professionally as Luisito Rey, was a Spanish singer-songwriter and music executive, best known as the father and first manager of Mexican singer Luis Miguel."
Q78491,"Stefan Zweig (/zwaɪɡ, swaɪɡ/; German: [ˈʃtɛ.fan t͡svaɪ̯k]; 28 November 1881 – 22 February 1942) was an Austrian novelist, playwright, journalist, and biographer. At the height of his literary career, in the 1920s and 1930s, he was one of the most widely translated and popular writers in the world. Zweig was raised in Vienna, Austria-Hungary. He wrote historical studies of famous literary figures, such as Honoré de Balzac, Charles Dickens, and Fyodor Dostoevsky in Drei Meister (1920; Three Masters), and decisive historical events in Sternstunden der Menschheit (1928; published in English in 1940 as The Tide of Fortune: Twelve Historical Miniatures). He wrote biographies of Joseph Fouché (1929), Mary Stuart (1935) and Marie Antoinette (Marie Antoinette: The Portrait of an Average Woman, 1932), among others."
Q203715,"Gustavo Adolfo Claudio Domínguez Bastida (17 February 1836 – 22 December 1870), better known as Gustavo Adolfo Bécquer (Spanish pronunciation: [ɡusˈtaβo aˈðolfo ˈβekeɾ]), was a Spanish Romantic poet and writer (mostly short stories), also a playwright, literary columnist, and talented in drawing. Today he is considered one of the most important figures in Spanish literature, and is considered by some as the most read writer after Miguel de Cervantes. He adopted the alias of Bécquer as his brother Valeriano Bécquer, a painter, had done earlier. He was associated with the romanticism and post-romanticism movements and wrote while realism was enjoying success in Spain. He was moderately well known during his life, but it was after his death that most of his works were published."
Q6518671,"Legros de Rumigny (1710–1770) was a French hairdresser. He was the hairdresser for the French court of the 18th century including Madame de Pompadour. In 1765 he wrote L'Art de la coeffure des dames françaises and established the Académie des Coëffures des Dames Françoises which helped establish hairdressing as a profession. According to later accounts, Rumigny was discovered to have raped a number of his clients. Although accusations were made against him during his lifetime, they were dismissed by the royal court and he was never formally charged."
Q91,"Abraham Lincoln (/ˈlɪŋkən/ LINK-ən; February 12, 1809 – April 15, 1865) was an American lawyer, politician, and statesman who served as the 16th president of the United States from 1861 until his assassination in 1865. Lincoln led the nation through the American Civil War and succeeded in preserving the Union, abolishing slavery, bolstering the federal government, and modernizing the U.S. economy. Lincoln was born into poverty in a log cabin in Kentucky and was raised on the frontier, primarily in Indiana. He was self-educated and became a lawyer, Whig Party leader, Illinois state legislator, and U.S. Congressman from Illinois."
Q205456,"Theodoor van Gogh (Dutch: [ˈteːjoː vɑŋ ˈɣɔx]; 23 July 1957 – 2 November 2004) was a Dutch film director. He directed Submission: Part 1, a short film written by Somali writer and politician Ayaan Hirsi Ali, which criticised the treatment of women in Islam in strong terms. On 2 November 2004, he was murdered by Mohammed Bouyeri, a Dutch-Moroccan Islamist who objected to the film's message. The last film Van Gogh had completed before his murder, 06/05, was a fictional exploration of the assassination of Dutch politician Pim Fortuyn (1948–2002). It was released posthumously in December 2004, a month after Van Gogh's death, and two years after Fortuyn's death."
Q200661,"Juan Nepomuceno Carlos Pérez Rulfo Vizcaíno, best known as Juan Rulfo (Spanish: [ˈxwan ˈrulfo] ; 16 May 1917 – 7 January 1986), was a Mexican writer, screenwriter, and photographer. He is best known for two literary works, the 1955 novel Pedro Páramo, and the collection of short stories El Llano en llamas (1953). This collection includes the popular tale ""¡Diles que no me maten!"" (""Tell Them Not to Kill Me! "")."
Q23889270,"Estelle Balet (19 December 1994 – 19 April 2016) was a Swiss freeride snowboarder and two-time world champion in 2015 and 2016 at the Freeride World Tour. She died in an avalanche on 19 April 2016, at the age of 21."
Q5942512,"José Martínez Queirolo (March 22, 1931 – October 8, 2008) was an Ecuadorian playwright and narrator. He was the 2001 recipient of the Premio Eugenio Espejo in Literature, awarded to him by President Gustavo Noboa. Martínez Queirolo, known by friends as ""Pipo"", was born and died in the city of Guayaquil, of cancer on October 8, 2008."
Q16864,"Horacio Silvestre Quiroga Forteza (31 December 1878 – 19 February 1937) was a Uruguayan playwright, poet, and short story writer. He wrote stories which, in their jungle settings, used the supernatural and the bizarre to show the struggle of man and animal to survive. He also excelled in portraying mental illness and hallucinatory states, a skill he gleaned from Edgar Allan Poe, according to some critics. His influence can be seen in the Latin American magical realism of Gabriel García Márquez and the postmodern surrealism of Julio Cortázar."
Q156272,"André Derain (/dəˈræ̃/, French: [ɑ̃dʁe dəʁɛ̃]; 10 June 1880 – 8 September 1954) was a French artist, painter, sculptor and co-founder of Fauvism with Henri Matisse."
Q15567,"Germaine Mason (20 January 1983 – 20 April 2017) was a Jamaican-born track and field athlete competing in high jump. In 2006, he switched sporting allegiance, and then represented Great Britain. As a Great Britain competitor, he won the Silver Medal at the 2008 Summer Olympics."
Q85179,"Peter Anders (1 July 1908 – 10 September 1954) was a German operatic tenor who sang a wide range of parts in the German, Italian, and French repertories. He began by singing lyric roles and later took dramatic roles with equal success. He was also a prominent lieder singer."
Q128736,"John Forbes Nash Jr. (June 13, 1928 – May 23, 2015) was an American mathematician who made fundamental contributions to game theory, real algebraic geometry, differential geometry, and partial differential equations. Nash and fellow game theorists John Harsanyi and Reinhard Selten were awarded the 1994 Sveriges Riksbank Prize in Economic Sciences in Memory of Alfred Nobel (popularly known as the Nobel Prize in Economics). In 2015, he and Louis Nirenberg were awarded the Abel Prize for their contributions to the field of partial differential equations. As a graduate student in the Mathematics Department at Princeton University, Nash introduced a number of concepts (including Nash equilibrium and the Nash bargaining solution) which are now considered central to game theory and its applications in various sciences. In the 1950s, Nash discovered and proved the Nash embedding theorems by solving a system of nonlinear partial differential equations arising in Riemannian geometry."
Q142582,Guillermo González Camarena (17 February 1917 – 18 April 1965) was a Mexican electrical engineer who was the inventor of a color-wheel type of color television.
Q186492,"George Smith Patton Jr. (November 11, 1885 – December 21, 1945) was a general in the United States Army who commanded the Seventh United States Army in the Mediterranean theater of World War II, and the Third United States Army in France and Germany after the Allied invasion of Normandy in June 1944. Born in 1885, Patton attended the Virginia Military Institute and the United States Military Academy at West Point. He studied fencing and designed the M1913 Cavalry Saber, more commonly known as the ""Patton Saber"". He competed in modern pentathlon in the 1912 Summer Olympics in Stockholm, Sweden. Patton entered combat during the Pancho Villa Expedition of 1916, the United States' first military action using motor vehicles."
Q259091,"Thuy Trang (December 14, 1973 – September 3, 2001) was a Vietnamese actress. She was known for her role as Trini Kwan, the first Yellow Ranger on the original cast of the television series Mighty Morphin Power Rangers. Trang's father was a South Vietnamese army officer who fled the country in 1975 after the fall of Saigon, leaving his family behind. When Trang was six, she and her mother and brothers boarded a cargo ship bound for Hong Kong, a difficult journey during which Trang became very ill. They reunited with Trang's father in the United States in 1980 and settled in California."
Q314784,"Ghazi ibn Faisal (Arabic: غازي ابن فيصل, romanized: Gâzî ibn-i Faysal) (21 March 1912 – 4 April 1939) was the King of Iraq from 1933 to 1939 having been briefly Crown Prince of the Kingdom of Syria in 1920. He was born in Mecca, the only son of Faisal I, the first King of Iraq."
Q321108,"Rodrigo Alejandro Bueno (Spanish: [roˈðɾiɣo aleˈxandɾo ˈβweno]; May 24, 1973 – June 24, 2000), also known by his stage name Rodrigo or his nickname ""El Potro"" (""the Colt""), was an Argentine singer of cuarteto music. He is widely regarded as the best, most famous and most influential singer in the history of this genre. Bueno's style was marked by his on-stage energy and charisma. His short, dyed hair and casual clothes differed from typical cuarteto singers with strident colors and long curly hair. During his career, Bueno expanded cuarteto music to the Argentine national scene, remaining one of the main figures of the genre."
Q438213,"Jules Carpentier (30 August 1851 – 30 June 1921) was a French engineer and inventor. Jules Carpentier was a student at the French École polytechnique. He bought the Ruhmkorff workshops in Paris when Heinrich Daniel Ruhmkorff died and made it a successful business for building electrical and magnetical devices. From 1890, he started to build photographic and cinematographic cameras. He is the designer of the submarine periscope, and worked at the adjustment of trichromic process of colour photography."
Q457098,"Fernand Cormon (24 December 1845 – 20 March 1924) was a French painter born in Paris. He became a pupil of Alexandre Cabanel, Eugène Fromentin, and Jean-François Portaels, and one of the leading historical painters of modern France."
Q465609,Alexey Alexeyevich Prokurorov (Russian: Алексе́й Алексе́евич Прокуро́ров; 25 March 1964 – 10 October 2008) was a Soviet/Russian cross-country skier who competed in the late 1980s and 1990s for both the Soviet Union and Russia.
Q625966,"William Glen Harold Herrington (July 14, 1969 – March 2, 2018), known professionally as Billy Herrington, was an American model and pornographic film actor. In the late 2000s, his appearances in various gay pornography movies led him to become a popular Internet meme on video-sharing websites such as Japan's Nico Nico Dōga, where he was referred to by the sobriquet ""Aniki"" (兄貴, lit. ""older brother""). Since then, at least 110,000 short mash-up parodies of his clips—known as ""Gachimuchi Pants Wrestling"" (ガチムチパンツレスリング Gachimuchi Pantsu Resuringu)—have been produced by fans."
Q887497,"Emiliano Figueroa Larraín (American Spanish: [emiˈljano fiɣeˈɾo.a]; July 12, 1866 – May 15, 1931) was President of Chile from December 23, 1925 until his resignation on May 10, 1927. He also served as Acting president for a few months in 1910."
Q1502870,"Owe Jonsson (23 November 1940 – 29 September 1962) was a Swedish sprinter, ice hockey player and bandy player. Jonsson mostly competed in 100–400 m sprint events, winning seven national titles in 1960–1962. His favorite distance was 200 m, in which he broke the Swedish national record six times and won the European champion title in Belgrade in September 1962. Less than two weeks after that he died in a car accident on the road between his hometown, Växjö and Alvesta. A street near the athletics track in Växjö is named after him."
Q1969431,"Aleš Debeljak (25 December 1961 – 28 January 2016), was a Slovenian cultural critic, poet, and essayist."
Q2055054,"Vaine Wilton Ivie (March 28, 1907 – August 8, 1969) was an American arachnologist, who described hundreds of new species and many new genera of spiders, both under his own name and in collaboration with Ralph Vary Chamberlin. He was employed by the American Museum of Natural History in New York. He also was a supporter of the Technocracy movement."
Q2262600,"Prince Albert Charles Anthony Louis William Victor of Saxony, Duke of Saxony (German: Albert Karl Anton Ludwig Wilhelm Viktor; 25 February 1875 – 16 September 1900) was a Saxon prince from the House of Wettin. He was the youngest son of King Georg I of Saxony (son of King Johann I of Saxony and his consort Princess Amalie Auguste of Bavaria) and his wife, Infanta Maria Ana of Portugal (daughter of Queen Maria II of Portugal and her consort, Prince Ferdinand of Saxe-Coburg and Gotha-Kohary). He died on 16 September 1900 in a traffic accident. A phaeton driven by Miguel de Bragança hit Albert's carriage so violently that the carriage overturned into a ditch. Albert died from his wounds a few hours later."
Q2267931,"Manuel de Jesús Clouthier del Rincón (June 13, 1934 – October 1, 1989) was a Mexican agriculturalist, businessman and politician. His 1988 presidential campaign challenged the dominance of Mexico's PRI party in the nation's politics, with rhetoric and protests before, during and after the elections. Although officially coming in third, he remained a prominent political force in Mexico until his death in a car accident a year after the elections."
Q2395053,"Paruyr Sevak (Armenian: Պարույր Սևակ; January 24, 1924 – June 17, 1971) was an Armenian poet, translator and literary critic. He is considered one of the greatest Armenian poets of the 20th century."
Q2428042,"Thomas Wayne Perkins (July 22, 1940, Batesville, Mississippi – August 15, 1971, Memphis, Tennessee) was an American singer. He is best remembered as a one-hit wonder for ""Tragedy""."
Q3219154,"Laurent Dailliez (died 1991) was a French history doctor who graduated from Ecole pratique des hautes études. He was a researcher in medieval studies at the CNRS, a historian of the Crusades, and a specialist of the Knights Templar. Among other books, he wrote ""Les Templiers"". Dailliez was also the author of the article on the Templars in the leading French language encyclopedia, Encyclopedia Universalis."
Q3378143,"Jeanne Leocadie de Tramcourt (9 December 1875, Tracy-sur-Loire, France – 2 January 1952 in Stjärnhov, Södermanland) was the French long term girlfriend of Prince Wilhelm of Sweden. The couple had a relationship from 1914 until 1952. Tramcourt married the Swedish sculptor in 1894 and divorced him in 1911, and was during her marriage well known within Swedish art circles. Her relationship to prince Wilhelm started in 1914 and lasted until her death, and their relationship is described as a happy one. The couple never married, but lived together on Stenhammar Palace; from 1932, she was called his ""hostess"" and their relationship was privately recognized, though never officially, and she was never seen in public."
Q3435150,"Robert C. Frasure (April 20, 1942 – August 19, 1995) was an American diplomat and the first United States Ambassador to Estonia following Estonia's regained independence from the Soviet Union."
Q3435688,"Robert Lazurick (1896–1968) was a French lawyer, politician and newspaper proprietor. He served as a member of the Chamber of Deputies from 1936 to 1941, representing Cher."
Q3476775,"Sean Brené Roberge (November 1, 1972 – July 29, 1996) was a Canadian actor with a long list of credits in Canadian and American television."
Q3499253,"Steven Parrino (1958–2005) was an American artist and musician associated with energetic punk nihilism. He is best known for creating big modernist monochrome paintings (his colors were limited to monochrome black (or black-and-white), orange, red, blue, and silver) that he violently slashed, torn or twisted off their stretchers. He died in a motorcycle traffic accident in Greenpoint, Brooklyn at the age of 46."
Q3543870,"Mariko Shiga (志賀 真理子, Shiga Mariko, December 24, 1969 – November 23, 1989) was an idol star and voice actress born in Funabashi, Chiba, Japan. She attended and graduated from Funabashi Municipal High School before enrolling in the University of California, Riverside in 1989. While on a trip to Arizona in November of that same year, Shiga was killed in an accident near Flagstaff when she was thrown from the vehicle due to the car rolling as it swerved to miss an animal. She died thirty-one days before her 20th birthday."
Q3754931,"Aurelio Rodríguez Ituarte, Jr. (December 28, 1947 – September 23, 2000), sometimes known by the nickname ""Chi Chi"", was a Mexican professional baseball player, who spent the bulk of his Major League career with the Detroit Tigers. Known for his powerful throwing arm, he was one of the great defensive third basemen of his generation. His career range factor of 3.215 per nine innings at third base ranks second in major league history, and his 4,150 assists at the position ranked fifth in major league history at the time of his retirement. Rodriguez began his career in the Mexican League in 1965 and 1966 and was the league's Rookie of the Year in 1966. He then played 17 seasons in Major League Baseball for the California Angels (1967–1970), Washington Senators (1970), Detroit Tigers (1971–1979), San Diego Padres (1980), New York Yankees (1980–1981), Chicago White Sox (1982–1983) and Baltimore Orioles (1983)."
Q4116311,"Sameera Moussa (Egyptian Arabic: سميرة موسى) (March 3, 1917 – August 5, 1952) was the first female Egyptian nuclear physicist. Sameera held a doctorate in atomic radiation. She hoped her work would one day lead to affordable medical treatments and the peaceful use of atomic energy. She organized the Atomic Energy for Peace Conference and sponsored a call that set an international conference under the banner ""Atoms for Peace."" She was the first woman to work at Cairo University."
Q4503270,"Pantelis Pantelidis (Greek: Παντελής Παντελίδης; 23 November 1983 – 18 February 2016) was a Greek singer, songwriter and lyricist. He died on 18 February 2016 in a car crash."
Q5125241,"Assistant District Attorney Claire Kincaid is a fictional character on the television series Law & Order, played by Jill Hennessy from 1993 to 1996. She appeared in 69 episodes (68 of Law & Order, and the Homicide: Life on the Street episode ""For God and Country"")."
Q5371602,"Kim Yang-gon (김양건, 24 April 1942 – 29 December 2015) was a North Korean politician and a senior official of the ruling Workers' Party of Korea."
Q6300739,"Juan Panero (April 2, 1908 in Astorga, Spain – August 7, 1937) was a Spanish poet born in Astorga. The brother of Leopoldo Panero, his works are characterized by the use of classical forms and romantic themes. They are both classified as part of the Generation of '36 movement. Panero studied in San Sebastián and returned to Astorga in 1924 where he founded the literary magazine Saeta with his friends in 1925. Under the pseudonym Juan de Mena, he published the poem A la que más me gusta."
Q6849341,"Mike Yaconelli (July 24, 1942 – October 30, 2003) was a writer, theologian, church leader and satirist. Co-Founder of Youth Specialties, a training organization for Christian youth leaders, and The Wittenburg Door (sometimes just The Door), a satirical magazine, Yaconelli was also the pastor of a small church in Yreka, California - ""the slowest growing church in America"" as he called it. He and wife Karla used to share their time between Yreka and the Youth Specialties offices in El Cajon, California. As well as his contributions to the Wittenburg Door, Yaconelli also wrote a number of books for youth leaders, and was a well-received Christian conference speaker. He was a regular at the Greenbelt festival in the UK."
Q7680219,"Tallys Machado de Oliveira, or simply Tallys, (October 26, 1987 – November 4, 2017) was a Brazilian attacking midfielder. He played for Paysandu of the Campeonato Brasileiro Série B until his death in 2017. Tallys died in a traffic collision on 4 November 2017 in Garopaba."
Q14726386,"Jean-Marie Berthier (25 June 1940 – 8 August 2017) was a French poet. He taught literature in Africa, Asia and South America, and was the author of over 20 poetry collections. Berthier won the 2010 Prix François Coppée from the Académie française for Attente très belle de mon attente."
Q15909134,"Antoni Egea (1938 in Alicante – July 1977 in Vallgorguina) was a contemporary Spanish artist. He began his career as an artist heavily influenced by Arte Povera. He studied at the School of Arts and Crafts in Barcelona. At that time he made several drawings with wax, sand and other types of clays or even scrap, incorporating other waste materials found on the streets. His bigger and last artwork was a big mural done at Vallgorguina, 10 x 2 meters."
Q18818073,Philippe Pradayrol (16 June 1966 – 8 December 1993) was a French judoka. He competed in the men's extra-lightweight event at the 1992 Summer Olympics. He died as result of a traffic accident in December 1993.
Q19360835,"José Ariel Camacho Barraza (July 8, 1992 – February 25, 2015) was a Mexican singer-songwriter who performed the Sierreño and Regional Mexican music genre. He was the lead singer of his band, Ariel Camacho y Los Plebes del Rancho. In 2013 Ariel Camacho y Los Plebes del Rancho signed to JG Records. In 2014 they signed with DEL Records."
